859/549 _1.56
126*255 _32130
204+633 _837
861+767 _1628
868-869 _-1
528/487 _1.08
410*917 _375970
548*443 _242764
253-179 _74
883/710 _1.24
779-900 _-121
872*44 _38368
199-749 _-550
30+148 _178
313+277 _590
443+649 _1092
919-223 _696
851+598 _1449
556-483 _73
201/988 _0.2
41/686 _0.06
614/580 _1.06
334+36 _370
961-835 _126
841*374 _314534
613+45 _658
947+409 _1356
489*341 _166749
777/280 _2.77
12-704 _-692
195*895 _174525
160*623 _99680
859+188 _1047
859/431 _1.99
231+206 _437
910+957 _1867
10/667 _0.01
563*381 _214503
431/179 _2.41
331/368 _0.9
838/82 _10.22
991-117 _874
755*51 _38505
813-819 _-6
585+495 _1080
785+535 _1320
8/935 _0.01
143/50 _2.86
807-230 _577
394-548 _-154
279/342 _0.82
255-826 _-571
283+381 _664
587+520 _1107
231+166 _397
330+678 _1008
793+645 _1438
659*931 _613529
67-734 _-667
689/314 _2.19
900*704 _633600
507-411 _96
252*177 _44604
918*466 _427788
92*140 _12880
807/432 _1.87
589/120 _4.91
243-103 _140
596*198 _118008
381*7 _2667
790+761 _1551
510*498 _253980
964-506 _458
469+448 _917
560+465 _1025
712*832 _592384
955*362 _345710
383+174 _557
295-823 _-528
558*563 _314154
44/466 _0.09
629*590 _371110
929-382 _547
949/627 _1.51
675/934 _0.72
333*272 _90576
508/724 _0.7
937-220 _717
498+217 _715
648-281 _367
637+737 _1374
213*844 _179772
780+995 _1775
42*708 _29736
439-911 _-472
167+35 _202
805-240 _565
877-857 _20
513*636 _326268
385*77 _29645
823-647 _176
340*737 _250580
871+510 _1381
614*882 _541548
242+938 _1180
215+15 _230
488+540 _1028
789/757 _1.04
339+556 _895
378-905 _-527
671-206 _465
190+582 _772
298*369 _109962
621+668 _1289
838+643 _1481
55-96 _-41
535/803 _0.67
142/802 _0.18
959/670 _1.43
272+798 _1070
803/61 _13.16
343/204 _1.68
622+826 _1448
844*91 _76804
734+894 _1628
699-397 _302
86*173 _14878
508/137 _3.71
357*573 _204561
414*333 _137862
791/242 _3.27
530/27 _19.63
237-137 _100
657-253 _404
66-142 _-76
185-247 _-62
890/770 _1.16
847*103 _87241
744-122 _622
177+996 _1173
909+203 _1112
486/863 _0.56
14/815 _0.02
731*141 _103071
629-97 _532
790+729 _1519
154+624 _778
548+985 _1533
33+201 _234
319+356 _675
542-774 _-232
495-54 _441
71*27 _1917
315*99 _31185
849-821 _28
977*962 _939874
35+603 _638
596+626 _1222
518/825 _0.63
204*128 _26112
65+922 _987
771-678 _93
49*830 _40670
560+397 _957
871+291 _1162
820/157 _5.22
87-108 _-21
449*959 _430591
769*909 _699021
263-743 _-480
94+808 _902
222+896 _1118
562*128 _71936
630+139 _769
200*543 _108600
856/429 _2.0
456/282 _1.62
469/160 _2.93
365*320 _116800
577+93 _670
322+173 _495
132*893 _117876
948+853 _1801
113/524 _0.22
758/871 _0.87
725*316 _229100
297/255 _1.16
432+919 _1351
835-771 _64
84+149 _233
249*855 _212895
282+811 _1093
7/899 _0.01
283-444 _-161
640+541 _1181
231*966 _223146
355*47 _16685
829/264 _3.14
293-517 _-224
149+17 _166
74-807 _-733
865+755 _1620
741+431 _1172
551-690 _-139
760+431 _1191
270-883 _-613
322*318 _102396
140*299 _41860
37+387 _424
362*291 _105342
409*12 _4908
722-926 _-204
568/682 _0.83
509/863 _0.59
111/987 _0.11
727-523 _204
231*43 _9933
239+809 _1048
800-573 _227
91/749 _0.12
309/756 _0.41
862+83 _945
235*82 _19270
111/151 _0.74
744+692 _1436
702+738 _1440
476-841 _-365
64+191 _255
719/232 _3.1
476-986 _-510
469-294 _175
351+413 _764
512-572 _-60
995*172 _171140
270+260 _530
678+412 _1090
711-732 _-21
46-104 _-58
679+556 _1235
794+106 _900
324/136 _2.38
552+13 _565
846-272 _574
554+151 _705
555/733 _0.76
665/255 _2.61
868+529 _1397
696*784 _545664
267+949 _1216
89/865 _0.1
985*501 _493485
754-526 _228
651-917 _-266
527+271 _798
596+524 _1120
708+832 _1540
681-439 _242
795+860 _1655
653*449 _293197
969-422 _547
354+642 _996
612*106 _64872
817-911 _-94
219-662 _-443
920/84 _10.95
92+895 _987
276+913 _1189
191-647 _-456
69+550 _619
457-463 _-6
592/2 _296.0
194-850 _-656
506-898 _-392
467+592 _1059
874*533 _465842
201-373 _-172
152+682 _834
684+867 _1551
134*21 _2814
230/510 _0.45
548*666 _364968
65-269 _-204
401+653 _1054
494*631 _311714
550/606 _0.91
427-951 _-524
639/779 _0.82
743*662 _491866
813/999 _0.81
491/517 _0.95
585-445 _140
590/627 _0.94
982-865 _117
88+965 _1053
838/415 _2.02
272/278 _0.98
486-419 _67
451+909 _1360
194+72 _266
360-763 _-403
295*976 _287920
311*366 _113826
930+946 _1876
251*200 _50200
978*629 _615162
411+666 _1077
139/902 _0.15
642*649 _416658
103+365 _468
399*98 _39102
755-810 _-55
469*578 _271082
795-741 _54
200+420 _620
592+717 _1309
277-369 _-92
24/671 _0.04
904*17 _15368
156-441 _-285
578-141 _437
254*530 _134620
428+405 _833
916/757 _1.21
932+496 _1428
17+650 _667
315/300 _1.05
246-107 _139
389-790 _-401
12+665 _677
883*265 _233995
497-769 _-272
179/520 _0.34
751/152 _4.94
708*357 _252756
497/878 _0.57
511+415 _926
377+68 _445
185-190 _-5
79-858 _-779
907+382 _1289
850/669 _1.27
58-434 _-376
803+108 _911
134+654 _788
587*41 _24067
627+481 _1108
670-527 _143
431*346 _149126
15/240 _0.06
704+666 _1370
828/666 _1.24
685*807 _552795
518/657 _0.79
316*362 _114392
178+75 _253
522*826 _431172
16+4 _20
84+155 _239
878+458 _1336
961+702 _1663
458*274 _125492
671+763 _1434
489*298 _145722
429/465 _0.92
164-442 _-278
469-204 _265
659-850 _-191
432/52 _8.31
177/329 _0.54
858-340 _518
465-779 _-314
928-638 _290
417/396 _1.05
393*748 _293964
305/764 _0.4
89+273 _362
456/47 _9.7
679+968 _1647
761+331 _1092
724*513 _371412
868*94 _81592
505+45 _550
201/776 _0.26
725/423 _1.71
799*273 _218127
480-889 _-409
8-528 _-520
624*732 _456768
945*385 _363825
30-907 _-877
607+417 _1024
134+370 _504
569-299 _270
790/178 _4.44
404/588 _0.69
524-753 _-229
727+152 _879
543+752 _1295
241/336 _0.72
88+307 _395
619-254 _365
404+476 _880
762+703 _1465
600-758 _-158
80+51 _131
224*612 _137088
235+958 _1193
398+481 _879
789/297 _2.66
399-480 _-81
388+393 _781
607*614 _372698
965/235 _4.11
696*521 _362616
292-18 _274
952/337 _2.82
414/483 _0.86
656/774 _0.85
668*918 _613224
161+721 _882
349-141 _208
13+542 _555
316-592 _-276
783*504 _394632
964/985 _0.98
755*254 _191770
655+933 _1588
747/481 _1.55
752*641 _482032
46+865 _911
165*564 _93060
901*933 _840633
729*611 _445419
479*680 _325720
840/499 _1.68
835*433 _361555
601/530 _1.13
46-451 _-405
854-565 _289
525-767 _-242
927-58 _869
520/618 _0.84
878*448 _393344
152/249 _0.61
813+317 _1130
17-835 _-818
9*197 _1773
57/957 _0.06
758/365 _2.08
129/384 _0.34
999/354 _2.82
265/499 _0.53
566/371 _1.53
166/769 _0.22
16/1000 _0.02
484-750 _-266
790+189 _979
856-655 _201
109+474 _583
880-937 _-57
775+593 _1368
474/918 _0.52
163-930 _-767
830-468 _362
525*577 _302925
552-775 _-223
765/289 _2.65
526+455 _981
240-122 _118
868/512 _1.7
839/140 _5.99
723-991 _-268
890*676 _601640
625/16 _39.06
413/273 _1.51
499*43 _21457
256-22 _234
23-466 _-443
45/143 _0.31
513+99 _612
247+687 _934
696-911 _-215
313-780 _-467
137+240 _377
888*364 _323232
841*187 _157267
257*488 _125416
557-1 _556
983+680 _1663
469*844 _395836
62*948 _58776
983*199 _195617
508+541 _1049
453+731 _1184
562-955 _-393
560/317 _1.77
101+600 _701
759/936 _0.81
740+501 _1241
384+438 _822
231-307 _-76
306/306 _1.0
543/187 _2.9
888+382 _1270
724+319 _1043
205+257 _462
694-187 _507
616/504 _1.22
268*997 _267196
703*153 _107559
994/491 _2.02
69-805 _-736
557*82 _45674
577/223 _2.59
615*620 _381300
450*468 _210600
23+970 _993
340/222 _1.53
337+806 _1143
891-779 _112
766+128 _894
414/656 _0.63
487*273 _132951
336/879 _0.38
777*16 _12432
483+975 _1458
566/269 _2.1
703+514 _1217
923*481 _443963
420-733 _-313
58/158 _0.37
900/810 _1.11
578+359 _937
535/757 _0.71
102-1 _101
80+333 _413
826/356 _2.32
332*755 _250660
720+809 _1529
895*417 _373215
513/4 _128.25
58*820 _47560
920-135 _785
38/712 _0.05
948*196 _185808
51+156 _207
145*544 _78880
808-68 _740
635-241 _394
169*52 _8788
521-86 _435
348*752 _261696
145*2 _290
632+619 _1251
896*108 _96768
1000-721 _279
638/86 _7.42
138*296 _40848
928*484 _449152
470+823 _1293
114/314 _0.36
349+748 _1097
673-500 _173
215/599 _0.36
845*812 _686140
925/604 _1.53
461/791 _0.58
356/128 _2.78
304-449 _-145
96/722 _0.13
651/831 _0.78
183*68 _12444
707-513 _194
639/51 _12.53
604/134 _4.51
778-931 _-153
63-321 _-258
525+327 _852
738-691 _47
828+80 _908
605+909 _1514
185/343 _0.54
815-683 _132
852-988 _-136
345+995 _1340
938+979 _1917
625*305 _190625
581/519 _1.12
141*829 _116889
892/757 _1.18
891/234 _3.81
889-659 _230
641/213 _3.01
48*98 _4704
879+853 _1732
778-975 _-197
132/332 _0.4
888-171 _717
984/952 _1.03
902-671 _231
515/504 _1.02
224+669 _893
478/911 _0.52
411*357 _146727
771/894 _0.86
551+883 _1434
840+759 _1599
340-737 _-397
321*924 _296604
779*808 _629432
594-50 _544
449*293 _131557
190/85 _2.24
259-319 _-60
227/950 _0.24
982*169 _165958
976+176 _1152
190+908 _1098
87+243 _330
198/926 _0.21
298+860 _1158
1*898 _898
830-35 _795
337/182 _1.85
3/397 _0.01
52+686 _738
954-622 _332
102*604 _61608
924-955 _-31
207*133 _27531
547-997 _-450
493*185 _91205
516*664 _342624
156+828 _984
460+402 _862
162+747 _909
223*834 _185982
193+220 _413
777+712 _1489
166-689 _-523
352-680 _-328
178/841 _0.21
32*552 _17664
407+341 _748
860-785 _75
415-806 _-391
844*910 _768040
781+233 _1014
469/170 _2.76
305/510 _0.6
548+546 _1094
558*593 _330894
931+688 _1619
823+259 _1082
876-953 _-77
372-536 _-164
186*365 _67890
814*155 _126170
44/87 _0.51
484/727 _0.67
744/380 _1.96
293+185 _478
47*940 _44180
116+946 _1062
513-534 _-21
445-792 _-347
793-39 _754
337/392 _0.86
379+22 _401
113-66 _47
503*289 _145367
341*122 _41602
527-703 _-176
57*207 _11799
754-411 _343
739/180 _4.11
904/802 _1.13
469/344 _1.36
946+134 _1080
814-663 _151
113+722 _835
77/646 _0.12
132+32 _164
556-895 _-339
352+50 _402
11/218 _0.05
215*173 _37195
290+545 _835
266*798 _212268
430*357 _153510
207-290 _-83
997/976 _1.02
893+711 _1604
822+421 _1243
831-12 _819
163+826 _989
434+630 _1064
251*737 _184987
639-118 _521
882*811 _715302
955-480 _475
725/975 _0.74
625*716 _447500
791*114 _90174
647/228 _2.84
475+845 _1320
858/606 _1.42
77-603 _-526
582*47 _27354
583+414 _997
953-708 _245
28*658 _18424
62-319 _-257
663/63 _10.52
841-194 _647
34-900 _-866
946-222 _724
439+613 _1052
748*464 _347072
645/750 _0.86
509/42 _12.12
939+393 _1332
53+384 _437
399/864 _0.46
904-158 _746
34*709 _24106
955+333 _1288
352+171 _523
145-786 _-641
750*229 _171750
380+882 _1262
713-706 _7
444-29 _415
991-830 _161
496/454 _1.09
615*244 _150060
353*38 _13414
749+733 _1482
9-550 _-541
245/66 _3.71
590+754 _1344
115/75 _1.53
194/381 _0.51
51-855 _-804
318/182 _1.75
171+89 _260
778-559 _219
370*37 _13690
969/579 _1.67
107+415 _522
583/105 _5.55
683-866 _-183
265+963 _1228
503/809 _0.62
831+428 _1259
314-204 _110
991-475 _516
779/767 _1.02
898/288 _3.12
620/537 _1.15
595*939 _558705
464/889 _0.52
881/971 _0.91
670+273 _943
163-902 _-739
871/31 _28.1
630+358 _988
421/934 _0.45
375*878 _329250
343/874 _0.39
127+350 _477
414-397 _17
614/851 _0.72
777-724 _53
961+510 _1471
187-245 _-58
127+865 _992
481/853 _0.56
333/148 _2.25
816*472 _385152
504+76 _580
134+333 _467
145*560 _81200
255-910 _-655
393*455 _178815
533/681 _0.78
252-481 _-229
246-681 _-435
551*566 _311866
239*239 _57121
508-54 _454
801-935 _-134
99-278 _-179
177*877 _155229
529/725 _0.73
734/164 _4.48
826/832 _0.99
177-506 _-329
465-373 _92
591/180 _3.28
524*732 _383568
287*975 _279825
540*166 _89640
331*321 _106251
573/596 _0.96
322-546 _-224
363+661 _1024
954+780 _1734
853+229 _1082
347/815 _0.43
57+876 _933
664*310 _205840
280+529 _809
907/437 _2.08
305-727 _-422
434-60 _374
654+73 _727
799/739 _1.08
714/606 _1.18
601*437 _262637
18+510 _528
953-963 _-10
975/729 _1.34
340*532 _180880
203*548 _111244
396*821 _325116
928-430 _498
44+702 _746
743*788 _585484
26+419 _445
150*718 _107700
327-823 _-496
528+88 _616
730-970 _-240
405-454 _-49
932*699 _651468
130*581 _75530
685-744 _-59
859-341 _518
86+791 _877
692-255 _437
344-953 _-609
869*948 _823812
460/648 _0.71
321+39 _360
688-283 _405
161/214 _0.75
256*814 _208384
734*908 _666472
235*121 _28435
929/803 _1.16
96/130 _0.74
929*209 _194161
522/19 _27.47
568/293 _1.94
247*785 _193895
764*479 _365956
357+594 _951
288/751 _0.38
653*500 _326500
864*280 _241920
153/9 _17.0
634*215 _136310
448-957 _-509
656*146 _95776
89+541 _630
357-745 _-388
428-87 _341
672*72 _48384
58+364 _422
8-344 _-336
238*859 _204442
20+517 _537
316-924 _-608
48+962 _1010
233-628 _-395
525-685 _-160
266-714 _-448
604*993 _599772
466+480 _946
933*814 _759462
338+575 _913
348/577 _0.6
267+315 _582
240-670 _-430
207-346 _-139
943+25 _968
388*242 _93896
215/647 _0.33
488/981 _0.5
186-579 _-393
126*536 _67536
195+645 _840
375+749 _1124
468-243 _225
5/747 _0.01
84*111 _9324
786/943 _0.83
403+91 _494
944-964 _-20
483-398 _85
574-185 _389
195+327 _522
317+999 _1316
812-577 _235
276-518 _-242
19+66 _85
59*560 _33040
238-852 _-614
173*945 _163485
460/175 _2.63
496+262 _758
160/559 _0.29
908-786 _122
427+529 _956
346-108 _238
141*620 _87420
73*622 _45406
3*367 _1101
658+289 _947
218-422 _-204
249/421 _0.59
520-480 _40
987/917 _1.08
238/352 _0.68
539+174 _713
945-708 _237
453/708 _0.64
619*884 _547196
803*456 _366168
913/295 _3.09
72-349 _-277
631-543 _88
116+374 _490
303+30 _333
893/248 _3.6
256*194 _49664
553*835 _461755
790*519 _410010
905-234 _671
192*443 _85056
19+562 _581
261/153 _1.71
302+568 _870
650*552 _358800
433/930 _0.47
696-983 _-287
698-243 _455
356+836 _1192
556-727 _-171
349+680 _1029
281-236 _45
866-644 _222
763/445 _1.71
874/184 _4.75
561-176 _385
476*803 _382228
263*451 _118613
95/695 _0.14
174*775 _134850
805/487 _1.65
545/674 _0.81
129+392 _521
566-512 _54
208-187 _21
219-450 _-231
841+366 _1207
646/917 _0.7
154-129 _25
149+448 _597
28*452 _12656
396*163 _64548
22/773 _0.03
760/171 _4.44
841*9 _7569
431*317 _136627
677/677 _1.0
909/744 _1.22
578+550 _1128
444+306 _750
104*878 _91312
790-124 _666
141/245 _0.58
660+126 _786
784/6 _130.67
849*687 _583263
322*65 _20930
471*304 _143184
621/203 _3.06
320/466 _0.69
990/883 _1.12
41/786 _0.05
744*45 _33480
202-833 _-631
500+323 _823
202*960 _193920
658*555 _365190
159-904 _-745
178+290 _468
768-189 _579
542-769 _-227
604*533 _321932
178/829 _0.21
344/433 _0.79
897+659 _1556
331/874 _0.38
492-848 _-356
205*720 _147600
937+433 _1370
943/258 _3.66
129+411 _540
617+175 _792
576-700 _-124
904-32 _872
998*59 _58882
909*988 _898092
191+278 _469
724*638 _461912
687/189 _3.63
328+399 _727
101*829 _83729
611*758 _463138
899/855 _1.05
161/922 _0.17
640/55 _11.64
715*998 _713570
326/323 _1.01
544/710 _0.77
978+872 _1850
156/844 _0.18
185*293 _54205
134/400 _0.34
744*635 _472440
529/317 _1.67
407*658 _267806
545/934 _0.58
357*156 _55692
844+915 _1759
474/946 _0.5
998-509 _489
652-479 _173
401/906 _0.44
510+704 _1214
81+570 _651
600*724 _434400
286+888 _1174
181*536 _97016
504+728 _1232
508*994 _504952
55+898 _953
287+835 _1122
302/309 _0.98
526-19 _507
576*928 _534528
815-916 _-101
58-15 _43
746*244 _182024
965/809 _1.19
361+204 _565
269+452 _721
631*381 _240411
395*209 _82555
330/815 _0.4
873/446 _1.96
812+740 _1552
771/975 _0.79
452*510 _230520
737+28 _765
268+451 _719
727/512 _1.42
514/964 _0.53
168+41 _209
966-207 _759
903-714 _189
52+136 _188
341+378 _719
113*987 _111531
52/652 _0.08
115*674 _77510
181*715 _129415
754*318 _239772
15+935 _950
62/685 _0.09
462+526 _988
363*915 _332145
539-379 _160
651+739 _1390
350-59 _291
681*497 _338457
569-785 _-216
528/177 _2.98
813-269 _544
934*957 _893838
118/431 _0.27
690/931 _0.74
101*903 _91203
671-469 _202
414-683 _-269
721*21 _15141
996-184 _812
271/317 _0.85
23*228 _5244
456*177 _80712
214-698 _-484
423-317 _106
623/990 _0.63
331*642 _212502
545*287 _156415
46/261 _0.18
766-2 _764
920*393 _361560
223+19 _242
60+837 _897
403+856 _1259
164/991 _0.17
923/169 _5.46
950+913 _1863
254-806 _-552
743*388 _288284
358+81 _439
418*844 _352792
375*748 _280500
50+91 _141
837-600 _237
621-831 _-210
50*426 _21300
408-900 _-492
319/166 _1.92
390-711 _-321
249-294 _-45
701-222 _479
93*737 _68541
165-485 _-320
840/830 _1.01
559-444 _115
140+219 _359
88-56 _32
790+374 _1164
767*855 _655785
418/896 _0.47
508-577 _-69
13*227 _2951
298*393 _117114
814/849 _0.96
63*286 _18018
406-662 _-256
762*222 _169164
661/991 _0.67
918/592 _1.55
574-102 _472
554+825 _1379
194/373 _0.52
215+973 _1188
373/769 _0.49
265/15 _17.67
8/504 _0.02
971*547 _531137
600+26 _626
621/151 _4.11
944-487 _457
580-271 _309
782+702 _1484
110/312 _0.35
669+593 _1262
697-670 _27
255+810 _1065
661+733 _1394
545/770 _0.71
168-703 _-535
729*372 _271188
444/152 _2.92
981*662 _649422
244*273 _66612
41-295 _-254
379+522 _901
774+45 _819
76-148 _-72
82+979 _1061
860/298 _2.89
871+68 _939
727/139 _5.23
841/177 _4.75
890-553 _337
33*570 _18810
382*113 _43166
818/244 _3.35
927*188 _174276
154+635 _789
416-177 _239
263/565 _0.47
662*985 _652070
766-189 _577
389/251 _1.55
43-484 _-441
968/846 _1.14
784/636 _1.23
446+166 _612
818*790 _646220
955/474 _2.01
635+233 _868
821/645 _1.27
152-492 _-340
425*764 _324700
881-274 _607
253/947 _0.27
663+637 _1300
453/21 _21.57
208*97 _20176
489-814 _-325
16/916 _0.02
708+209 _917
166+591 _757
208/817 _0.25
742+425 _1167
707-205 _502
527/700 _0.75
429/835 _0.51
297*457 _135729
910/342 _2.66
231/730 _0.32
55/877 _0.06
10/901 _0.01
547/382 _1.43
831-599 _232
336-404 _-68
864*395 _341280
805*684 _550620
206/429 _0.48
321-156 _165
599-811 _-212
842+219 _1061
395-577 _-182
801-399 _402
416-309 _107
357/878 _0.41
158-981 _-823
691-977 _-286
662+812 _1474
928/145 _6.4
718*643 _461674
26*451 _11726
66+704 _770
559-120 _439
215/430 _0.5
995+923 _1918
658/666 _0.99
510*904 _461040
566-106 _460
603-709 _-106
3+521 _524
138+850 _988
804+736 _1540
233/828 _0.28
438-795 _-357
900+854 _1754
448+956 _1404
525/435 _1.21
493+113 _606
983-175 _808
360*932 _335520
409+241 _650
468-596 _-128
320/591 _0.54
469+533 _1002
897-883 _14
725*206 _149350
679/210 _3.23
278*566 _157348
359-420 _-61
63/179 _0.35
635-302 _333
807-495 _312
953/376 _2.53
622/990 _0.63
526*361 _189886
288*441 _127008
348*963 _335124
33-2 _31
356+973 _1329
905+400 _1305
370*632 _233840
